[2025-04-18 21:10:57,421] 17 root - INFO - initiate the data ingestion
[2025-04-18 21:10:59,420] 62 root - INFO - Performed train test split on the dataframe
[2025-04-18 21:10:59,420] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-18 21:10:59,421] 67 root - INFO - Exporting train and test file path.
[2025-04-18 21:10:59,457] 77 root - INFO - exported train and test file path
[2025-04-18 21:10:59,458] 19 root - INFO - Data ingestion Completed!
[2025-04-18 21:10:59,458] 22 root - INFO - Initiate data validation!
[2025-04-18 21:10:59,522] 36 root - INFO - Required number of columns:2
[2025-04-18 21:10:59,523] 37 root - INFO - Dataframe has columns:31
[2025-04-18 21:10:59,523] 36 root - INFO - Required number of columns:2
[2025-04-18 21:10:59,523] 37 root - INFO - Dataframe has columns:31
[2025-04-18 21:10:59,628] 26 root - INFO - Data Validation Completed!
[2025-04-18 21:10:59,628] 29 root - INFO - Initiate transformation!
[2025-04-18 21:10:59,628] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 21:10:59,628] 55 root - INFO - starting data transformation!
[2025-04-18 21:10:59,649] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-18 21:10:59,650] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 21:10:59,663] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 21:10:59,665] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 21:10:59,665] 33 root - INFO - Data Transformation Completed!
[2025-04-18 21:10:59,666] 36 root - INFO - Initiate training!
[2025-04-18 21:11:59,155] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 21:11:59,176] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 21:11:59,177] 118 root - INFO - Model saved to Artifacts\04_18_2025_21_10_52\model_trainer\trained_model\model.pkl
[2025-04-18 21:11:59,178] 40 root - INFO - Model Training Completed!
