[2025-04-18 21:09:00,197] 17 root - INFO - initiate the data ingestion
[2025-04-18 21:09:01,974] 62 root - INFO - Performed train test split on the dataframe
[2025-04-18 21:09:01,974] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-18 21:09:01,975] 67 root - INFO - Exporting train and test file path.
[2025-04-18 21:09:02,013] 77 root - INFO - exported train and test file path
[2025-04-18 21:09:02,014] 19 root - INFO - Data ingestion Completed!
[2025-04-18 21:09:02,014] 22 root - INFO - Initiate data validation!
[2025-04-18 21:09:02,086] 36 root - INFO - Required number of columns:2
[2025-04-18 21:09:02,086] 37 root - INFO - Dataframe has columns:31
[2025-04-18 21:09:02,087] 36 root - INFO - Required number of columns:2
[2025-04-18 21:09:02,087] 37 root - INFO - Dataframe has columns:31
[2025-04-18 21:09:02,194] 26 root - INFO - Data Validation Completed!
[2025-04-18 21:09:02,195] 29 root - INFO - Initiate transformation!
[2025-04-18 21:09:02,195] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 21:09:02,195] 55 root - INFO - starting data transformation!
[2025-04-18 21:09:02,214] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-18 21:09:02,215] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 21:09:02,226] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 21:09:02,227] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 21:09:02,228] 33 root - INFO - Data Transformation Completed!
[2025-04-18 21:09:02,228] 36 root - INFO - Initiate training!
