[2025-04-18 18:09:16,892] 17 root - INFO - initiate the data ingestion
[2025-04-18 18:09:18,831] 62 root - INFO - Performed train test split on the dataframe
[2025-04-18 18:09:18,831] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-18 18:09:18,832] 67 root - INFO - Exporting train and test file path.
[2025-04-18 18:09:18,904] 77 root - INFO - exported train and test file path
[2025-04-18 18:09:18,905] 19 root - INFO - Data ingestion Completed!
[2025-04-18 18:09:18,905] 22 root - INFO - Initiate data validation!
[2025-04-18 18:09:19,014] 36 root - INFO - Required number of columns:2
[2025-04-18 18:09:19,015] 37 root - INFO - Dataframe has columns:31
[2025-04-18 18:09:19,015] 36 root - INFO - Required number of columns:2
[2025-04-18 18:09:19,015] 37 root - INFO - Dataframe has columns:31
[2025-04-18 18:09:19,222] 26 root - INFO - Data Validation Completed!
[2025-04-18 18:09:19,222] 29 root - INFO - Initiate transformation!
[2025-04-18 18:09:19,223] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 18:09:19,223] 55 root - INFO - starting data transformation!
[2025-04-18 18:09:19,258] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-18 18:09:19,258] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 18:09:19,280] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:09:19,284] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 18:09:19,285] 33 root - INFO - Data Transformation Completed!
[2025-04-18 18:09:19,285] 36 root - INFO - Initiate training!
[2025-04-18 18:11:04,898] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 18:11:04,924] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 18:11:04,926] 102 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_18_2025_18_09_04\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9932027189124351, precision_score=0.99122106943336, recall_score=0.9951923076923077), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9595446228908314, precision_score=0.9575978900385473, recall_score=0.9614992870238338))
[2025-04-18 18:11:04,930] 40 root - INFO - Model Training Completed!
