[2025-04-18 21:15:51,532] 17 root - INFO - initiate the data ingestion
[2025-04-18 21:15:53,244] 62 root - INFO - Performed train test split on the dataframe
[2025-04-18 21:15:53,245] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-18 21:15:53,245] 67 root - INFO - Exporting train and test file path.
[2025-04-18 21:15:53,284] 77 root - INFO - exported train and test file path
[2025-04-18 21:15:53,285] 19 root - INFO - Data ingestion Completed!
[2025-04-18 21:15:53,285] 22 root - INFO - Initiate data validation!
[2025-04-18 21:15:53,360] 36 root - INFO - Required number of columns:2
[2025-04-18 21:15:53,361] 37 root - INFO - Dataframe has columns:31
[2025-04-18 21:15:53,361] 36 root - INFO - Required number of columns:2
[2025-04-18 21:15:53,361] 37 root - INFO - Dataframe has columns:31
[2025-04-18 21:15:53,467] 26 root - INFO - Data Validation Completed!
[2025-04-18 21:15:53,468] 29 root - INFO - Initiate transformation!
[2025-04-18 21:15:53,468] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-18 21:15:53,468] 55 root - INFO - starting data transformation!
[2025-04-18 21:15:53,492] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-18 21:15:53,492] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-18 21:15:53,504] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 21:15:53,506] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 21:15:53,507] 33 root - INFO - Data Transformation Completed!
[2025-04-18 21:15:53,507] 36 root - INFO - Initiate training!
[2025-04-18 21:16:51,265] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-18 21:16:51,281] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-18 21:16:51,281] 139 root - INFO - Model saved to Artifacts\04_18_2025_21_15_46\model_trainer\trained_model\model.pkl
[2025-04-18 21:16:51,283] 40 root - INFO - Model Training Completed!
